Symbol,Date,Open,High,Low,Close,Volume,Adjusted,EPS,Dividend
AAPL,2016-11-15,107.896,109.02,107.481,107.110001,32264500,105.793777,8.33,2.23
AAPL,2016-11-16,108.027,111.601,107.926,109.989998,58840500,108.638382,8.33,2.23
AAPL,2016-11-17,111.176,111.723,110.184,109.949997,27632000,108.598877,8.33,2.23
AAPL,2016-11-18,111.085,111.915,111.024,110.059998,28428900,108.707527,8.33,2.23
AAPL,2016-11-21,111.49,113.383,111.379,111.730003,29264600,110.35701,8.33,2.23
AAPL,2016-11-22,113.343,113.819,112.786,111.800003,25965500,110.426147,8.33,2.23
AAPL,2016-11-23,112.745,112.897,111.703,111.230003,27426400,109.863159,8.33,2.23
AAPL,2016-11-25,112.513,113.262,112.33,111.790001,11475900,110.416275,8.33,2.23
AAPL,2016-11-28,112.816,113.869,112.776,111.57,27194000,110.198975,8.33,2.23
AAPL,2016-11-29,112.158,113.424,111.439,111.459999,28528800,110.090332,8.33,2.23
AAPL,2016-11-30,112.988,113.596,111.642,110.519997,36162300,109.16188,8.33,2.23
AAPL,2016-12-01,111.743,112.32,110.386,109.489998,37086900,108.144531,8.33,2.23
AAPL,2016-12-02,110.528,111.46,110.204,109.900002,26528000,108.5495,8.33,2.23
AAPL,2016-12-05,111.369,111.399,109.597,109.110001,34324500,107.769203,8.33,2.23
AAPL,2016-12-06,110.862,111.733,110.548,109.949997,26195500,108.598877,8.33,2.23
AAPL,2016-12-07,110.619,112.573,110.518,111.029999,29998700,109.665604,8.33,2.23
AAPL,2016-12-08,112.239,113.829,111.976,112.120003,27068300,110.742218,8.33,2.23
AAPL,2016-12-09,113.707,116.127,113.707,113.949997,34402600,112.549728,8.33,2.23
AAPL,2016-12-12,114.699,116.431,113.89,113.300003,26374400,111.907722,8.33,2.23
AAPL,2016-12-13,115.256,117.362,115.165,115.190002,43733800,113.77449,8.33,2.23
AAPL,2016-12-14,116.471,117.646,116.411,115.190002,34031800,113.77449,8.33,2.23
AAPL,2016-12-15,116.815,118.182,116.664,115.82,46524500,114.396751,8.33,2.23
AAPL,2016-12-16,117.919,117.949,117.089,115.970001,44351100,114.544907,8.33,2.23
AAPL,2016-12-19,117.241,118.84,117.19,116.639999,27779400,115.206673,8.33,2.23
AAPL,2016-12-20,118.192,118.962,118.132,116.949997,21425000,115.512863,8.33,2.23
AAPL,2016-12-21,118.253,118.861,118.233,117.059998,23783200,115.621513,8.33,2.23
AAPL,2016-12-22,117.798,117.96,117.079,116.290001,26085900,114.860977,8.33,2.23
AAPL,2016-12-23,117.028,117.97,117.028,116.519997,14181200,115.088142,8.33,2.23
AAPL,2016-12-27,117.97,119.266,117.939,117.260002,18296900,115.819054,8.33,2.23
AAPL,2016-12-28,118.982,119.488,117.646,116.760002,20905900,115.325203,8.33,2.23
AAPL,2016-12-29,117.899,118.567,117.848,116.730003,15039500,115.29557,8.33,2.23
AAPL,2016-12-30,118.101,118.658,116.866,115.82,30586300,114.396751,8.33,2.23
